项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
南方湿润区实验流域次降雨水文过程模拟及模型参数化,2017490211,7150699 ,资源与环境学院,,2018-01-01,2018,2019-12-31,实验室基金（校外）,实验室基金（一般类）,15,7.5,7.281553,财务通过，立项完成,直接立项,进行中
介观尺度全脑仿脑计算平台及其在癫痫机制研究中的应用,2018HH0003,7140680 ,生命科学与技术学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,国际合作,50,50,50,财务通过，立项完成,直接立项,进行中
弹载XXXX新技术,14YY1718053,7090818 ,信息与通信工程学院,,2018-01-01,2018,2019-12-31,类别1,子类4,50,50,50,财务通过，立项完成,直接立项,进行中
技术创新失败的挽救机制研究：以生物制药产业为例,71772082,5230716 ,经济与管理学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,5,5,5,财务通过，立项完成,直接立项,进行中
XXXFPGA,A1XP180080,7090629 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-03-30,类别A,子类1,395,118,118,财务通过，立项完成,直接立项,进行中
XXXX关键技术,14YY171312A,7060594 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,类别1,子类4,249,249,249,财务通过，立项完成,直接立项,进行中
XXX处理技术,14YY1713032,7150594 ,信息与通信工程学院,,2018-01-01,2018,2020-12-01,类别1,子类4,249,249,249,财务通过，立项完成,直接立项,进行中
XXXXX研究,14YY171805A,5230840 ,通信抗干扰技术国家级重点实验室,中国电子科技集团公司第十研究所,2018-01-01,2018,2019-12-31,类别1,子类4,50,50,50,财务通过，立项完成,直接立项,进行中
基于微纳结构的太赫兹波调控技术研究,31TZ182303A,7070629 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,类别7,子类2,175,167.5,167.5,财务通过，立项完成,直接立项,进行中
音乐干预缓解疼痛的脑机制与神经调控技术研究,61761166001,5230612 ,生命科学与技术学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,国际(地区)合作与交流项目,170,180.72,170,财务通过，立项完成,直接立项,进行中
无线数据与能量的一体化传输机理及联合资源分配算法研究,U1705263,7171714 ,信息与通信工程学院,"厦门大学,西安电子科技大学",2018-01-01,2018,2021-12-31,国家自然科学基金,联合基金项目,198,211.245,198,财务通过，立项完成,直接立项,进行中
多功能磁性介孔复合微球的设计及对铀的吸附分离研究,21701153,9190689 ,基础与前沿研究院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.32,25,财务通过，立项完成,直接立项,进行中
多功能多频段可重构天线研究,2018GZ0191,7080709 ,信息与通信工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
高能高压脉冲储能电容器介质材料基础研究,14YY172201A,5224527 ,电子科学与工程学院（示范性微电子学院）,西南科技大学,2018-01-01,2018,2020-12-31,类别1,子类4,270,270,270,财务通过，立项完成,直接立项,进行中
耐高温电磁辐射控制材料与结构机理研究,14YY170801A,7090606 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,类别1,子类4,250,225,225,财务通过，立项完成,直接立项,进行中
太赫兹隐蔽目标探测技术,14YY1713012,7182802 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,类别1,子类4,250,250,250,财务通过，立项完成,直接立项,进行中
太赫兹星间高速传输技术,91738102,7090623 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2020-12-31,国家自然科学基金,重大研究计划,85,90.78,85,财务通过，立项完成,直接立项,进行中
5G中端芯片新架构的射频硬件平台架构研究,2017ZX03001005-1,7110678 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2018-12-31,国家科技重大专项,参与课题,100,100,100,财务通过，立项完成,直接立项,进行中
磁性多层膜中自旋流的产生、传输和探测规律及其应用,11734006,7190594 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2022-12-31,国家自然科学基金,重点项目,120.5,98.5,98.5,财务通过，立项完成,直接立项,进行中
超高压输电线路绝缘子检测机器人研制及示范应用,2018GZ0122,7120696 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,50,50,50,财务通过，立项完成,直接立项,进行中
面向粉末物料的码垛机器人研制及应用示范,2018GZ0123,7172706 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,50,50,50,财务通过，立项完成,直接立项,进行中
面向离散制造的AGV智能物流仓储系统研发及应用,2018GZ0124,7110777 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,40,40,40,财务通过，立项完成,直接立项,进行中
川西北鼠荒地快速精准诊断及靶向恢复技术研究,18YYJC0746,7090789 ,资源与环境学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,应用基础研究项目,2,2,2,财务通过，立项完成,直接立项,进行中
群智感知网络中移动众包系统的关键技术研究,2018HH0075,7160663 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,国际合作,20,20,20,财务通过，立项完成,直接立项,进行中
基于自然语言理解的人机交互系统（重点）,2018JY0073,7080666 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,应用基础研究项目,20,20,20,财务通过，立项完成,直接立项,进行中
基于深度学习的视频语义标注与检索关键技术研究（重点）,2018JY0067,7110698 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2019-12-31,四川省科技计划项目,应用基础研究项目,20,20,20,财务通过，立项完成,直接立项,进行中
02面向空间监测的三维可移动无线传感器网络理论与技术,61731006*2,7090829 ,信息与通信工程学院,,2018-01-01,2018,2022-12-31,国家自然科学基金,重点项目,40,40,40,财务通过,子项目,进行中
01面向空间监测的三维可移动无线传感器网络理论与技术,61731006*1,5224676 ,信息与通信工程学院,,2018-01-01,2018,2022-12-31,国家自然科学基金,重点项目,20,20,20,财务通过,子项目,进行中
铁电光伏异质结界面构筑以其光电效应研究,2018-skllmd-06,5230778 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2019-12-31,实验室基金（校外）,实验室基金（一般类）,5,5,5,财务通过，立项完成,直接立项,进行中
湿性年龄相关性黄斑变性血管异常增生与神经性视觉损伤及修复的机制研究,81790643,4160694 ,医学院,中国科学技术大学,2018-01-01,2018,2022-12-31,国家自然科学基金,联合基金项目,345,289.8,276,财务通过，立项完成,直接立项,进行中
面向结构健康监测的二维同轴布拉格电栅应变传感关键技术研究,61701116,8130607 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,6.85,6.85,6.85,财务通过，立项完成,直接立项,进行中
集成成像3D显示中微图像阵列转换研究,61775151,5224303 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,19.95,16.75,16.75,财务通过，立项完成,直接立项,进行中
基于形状记忆材料的多自由度灵巧手研制,2018GZ0284,7110777 ,机械与电气工程学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
电子内镜和无线胶囊内镜图像处理关键技术研究,61720106004*1,5223671 ,生命科学与技术学院,,2018-01-01,2018,2022-12-31,国家自然科学基金,国际(地区)合作与交流项目,38.5,38.5,38.5,财务通过,子项目,进行中
视紫红质胞内转运的机制研究,81770935,4160710 ,医学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,56,58.8,56,财务通过，立项完成,直接立项,进行中
高安全、高比能固态锂离子电池关键技术,2018GZ0006,7160722 ,材料与能源学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,50,50,50,财务通过，立项完成,直接立项,进行中
石墨烯基碳气凝胶材料的关键制备技术及其在超级电容器中的应用,2018GZ0134,7080627 ,材料与能源学院,,2018-01-01,2018,2019-12-31,四川省科技计划项目,重点研发计划,50,50,50,财务通过，立项完成,直接立项,进行中
1D Hybrid nanostructures of Graphene/Cobalt compounds for solar-driven energy devices,51750110505,9181004 ,基础与前沿研究院,,2018-01-01,2018,2018-12-31,国家自然科学基金,国际(地区)合作与交流项目,18,18,18,财务通过，立项完成,直接立项,已结题
面向复杂环境的语音分离识别技术,14YY171201A,7130600 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2019-12-31,类别1,子类4,40,40,40,财务通过，立项完成,直接立项,进行中
多源星载光学遥感数据的薄云雾检测与去除研究,41771401,7140641 ,信息地学研究中心,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,65.67,63,财务通过，立项完成,直接立项,进行中
超宽角度范围波束扫描平面相控阵天线基础理论与关键技术研究-1,61731005*1,7160604 ,物理学院,,2018-01-01,2018,2022-12-31,国家自然科学基金,重点项目,140,117.4,112,财务通过,子项目,进行中
几类非线性浅水波方程的研究,11701068,7090770 ,数学科学学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,22,23.3,22,财务通过，立项完成,直接立项,进行中
中红外光纤激光器,61722503,7100719 ,光电科学与工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,优秀青年科学基金项目,130,136.8,130,财务通过，立项完成,直接立项,进行中
保险风险理论中一些最优和高斯极值问题,11701070,7150636 ,数学科学学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,21,22.2,21,财务通过，立项完成,直接立项,进行中
基于鲁棒中国余数定理的欠采样下信号的频率估计方法研究,61701086,7182711 ,数学科学学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,26,27.66,26,财务通过，立项完成,直接立项,进行中
删失与缺失并存的生存数据的降维理论及应用研究,11771066,7171740 ,数学科学学院,西南交通大学,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,48,50.26,48,财务通过，立项完成,直接立项,进行中
面向机场视觉感知的运动目标检测的研究,U1733111,7130679 ,信息与通信工程学院,中国民用航空总局第二研究所,2018-01-01,2018,2020-12-31,国家自然科学基金,联合基金项目,34,37.5,34,财务通过，立项完成,直接立项,进行中
毫米波发射通道非线性数字校正关键技术研究,61701075,7190646 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25.5,27.24,25.5,财务通过，立项完成,直接立项,进行中
新兴市场供应链可持续战略与营运资金风险实证研究,71772026,5224917 ,经济与管理学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,48,50.35,48,财务通过，立项完成,直接立项,进行中
带有亚波长孔阵列结构的新型太赫兹EIA的机理研究,11775046,5230885 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,65,62,财务通过，立项完成,直接立项,进行中
机场非合作低空小目标协同探测理论与技术研究,U1733110,7110700 ,信息与通信工程学院,中国民航总局第二研究所,2018-01-01,2018,2020-12-31,国家自然科学基金,联合基金项目,34,38.08,34,财务通过，立项完成,直接立项,进行中
混合模态脑-机接口系统的个体差异及其脑网络机制研究,81771925,5225134 ,信息医学研究中心,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,55,60.22,55,财务通过，立项完成,直接立项,进行中
放疗规划中基于机器学习的肿瘤区域自动分割方法研究,81771921,7181702 ,机械与电气工程学院,四川省肿瘤医院,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,55,57.34,55,财务通过，立项完成,直接立项,进行中
抑郁障碍社会认知异常的多模态磁共振研究,81771919,7150640 ,信息医学研究中心,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,50,54.1,50,财务通过，立项完成,直接立项,进行中
失神癫痫和肌阵挛癫痫小脑连接机制的多模态神经成像对比研究,81771822,7130644 ,生命科学与技术学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,55,57.5,55,财务通过，立项完成,直接立项,进行中
LncRNA-LIPE 01/04剪切体通过时相调节CXCL17调控银屑病BDCA1-CD11c+ 髓样树突状细胞的功能及机制研究,81771783,4150751 ,医学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,55,57.75,55,财务通过，立项完成,直接立项,进行中
性激素修饰胸腺重构联合同种异基因骨髓移植促进中枢性免疫耐受的功能与机制研究,81771723,4170700 ,医学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,55,57.75,55,财务通过，立项完成,直接立项,进行中
人诱导多能干细胞衍生的少突胶质细胞祖细胞治疗缺血性脑损伤的研究,81771238,4150758 ,医学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,54,56.7,54,财务通过，立项完成,直接立项,进行中
HKDC1 在视网膜色素变性病变中的功能研究,81770950,4160709 ,医学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,56,58.8,56,财务通过，立项完成,直接立项,进行中
基于氧化应激介导的铁死亡探讨Nrf-2对终末期肾病血管钙化的作用机制,81770742,4160717 ,医学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,52,54.6,52,财务通过，立项完成,直接立项,进行中
BICD2基因在家族性扩张型心肌病发生中的作用研究,81770379,4170694 ,医学院,成都医学院,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,55,57.75,55,财务通过，立项完成,直接立项,进行中
同步EEG-fMRI脑网络信息融合技术研究,81701778,8190612 ,生命科学与技术学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,20,21.24,20,财务通过，立项完成,直接立项,进行中
母亲妊娠期间睡眠剥夺损伤子代认知功能的神经免疫机制研究,81701308,9180873 ,信息生物学研究中心,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,20,21.36,20,财务通过，立项完成,直接立项,进行中
JAG1基因突变导致家族性渗出性玻璃体视网膜病变的分子机制研究,81700876,7200745 ,医学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,20,21.36,20,财务通过，立项完成,直接立项,进行中
HIF-1/TWIST1信号通路在病理性视网膜新生血管中的作用机制,81700841,4180795 ,医学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,20,21.3,20,财务通过，立项完成,直接立项,进行中
Kca3.1介导的线粒体自噬调控低氧性肺血管重塑的机制研究,81700044,4180796 ,医学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,20,21.36,20,财务通过，立项完成,直接立项,进行中
城市群环境政策的空间关联、治理网络与演变机制,71774026,7090785 ,公共管理学院,中山大学,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,48,48,16.300227,财务通过，立项完成,直接立项,进行中
现代慈善：中国企业／企业家行动者的慈善模式、行动过程及社会影响机制研究,71772028,5230654 ,经济与管理学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,48,50.37,48,财务通过，立项完成,直接立项,进行中
新兴技术初创企业双重“新进入缺陷”及合法化机制研究,71772027,5230658 ,经济与管理学院,四川师范大学,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,48,50.32,48,财务通过，立项完成,直接立项,进行中
基于时间协同的创新项目供应链结构优化与协调机制研究,71772025,5225010 ,经济与管理学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,48,50.35,48,财务通过，立项完成,直接立项,进行中
不确定性下复杂系统及集群的选择性维护策略研究,71771039,7130598 ,机械与电气工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,49,51.29,49,财务通过，立项完成,直接立项,进行中
复杂工程系统的连续状态可靠性建模和健康预测方法研究,71771038,7181707 ,机械与电气工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,49,51.22,49,财务通过，立项完成,直接立项,进行中
基于大数据的信用评估和决策分析方法研究,71771037,7090801 ,经济与管理学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,46,48.12,46,财务通过，立项完成,直接立项,进行中
权力失衡、信息失真与供应链可持续发展决策研究,71728008,5225010 ,经济与管理学院,,2018-01-01,2018,2019-12-31,国家自然科学基金,海外及港澳学者合作研究基金,18,18,18,财务通过，立项完成,直接立项,进行中
基于二维过渡金属硫化物/石墨烯异质结的高性能锁模光纤激光器研究,61775031,7080645 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,65.84,63,财务通过，立项完成,直接立项,进行中
双波长光声特征谱无创动态血糖检测仪关键技术研究,61775030,5231074 ,信息与通信工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,68.3,63,财务通过，立项完成,直接立项,进行中
具有较低效率滚降特性的高效率蓝光热致延迟荧光材料及器件的研究,61775029,7100635 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,64.9,62,财务通过，立项完成,直接立项,进行中
佩戴式光声脑功能成像技术,61775028,9200644 ,物理学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,37.8,37.8,财务通过，立项完成,直接立项,进行中
微测辐射热计型室温太赫兹探测器耦合机制与一体化设计方法研究,61775027,7080658 ,光电科学与工程学院,,2018-01-01,2018,2018-12-31,国家自然科学基金,面上项目,16,16,16,财务通过，立项完成,直接立项,进行中
基于矢量光场调控的光学相控阵理论模型和实现方法研究,61775026,7140649 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,66.15,63,财务通过，立项完成,直接立项,进行中
1.5微米波段主动频分复用宣布式单光子源,61775025,7130651 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,64.55,62,财务通过，立项完成,直接立项,进行中
全固态复合电极微型超级电容器阵列制备及相关机理研究,61774030,5223821 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,66.07,63,财务通过，立项完成,直接立项,进行中
基于低维压电材料的微纳机电谐振器的机理与器件研究,61774029,7181705 ,基础与前沿研究院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,66.15,63,财务通过，立项完成,直接立项,进行中
基于忆阻器的人工智能神经网络研究,61774028,7100618 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,66.15,63,财务通过，立项完成,直接立项,进行中
拓扑变化产生注意增强效应的认知机制研究,61773096,7160611 ,生命科学与技术学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,65.76,63,财务通过，立项完成,直接立项,进行中
复杂水下航行器的多刚体度和鲁棒运动同步控制,61773095,7120689 ,航空航天学院,中国船舶工业系统工程研究院,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,65,65,8.45612,财务通过，立项完成,直接立项,进行中
基于脑功能信息的视觉图像重构理论和方法研究,61773094,5231000 ,生命科学与技术学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,66,63,财务通过，立项完成,直接立项,进行中
面向服务机器人的无监督领域自适应目标检测方法研究,61773093,5230687 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,66,68.8,66,财务通过，立项完成,直接立项,进行中
基于TMS-fMRI刺激-功能成像技术研究视觉注意控制的神经机制,61773092,5230868 ,生命科学与技术学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,64,66.9,64,财务通过，立项完成,直接立项,进行中
粗糙拟阵及其在属性约简中的应用,61772120,7181701 ,基础与前沿研究院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,65.9,63,财务通过，立项完成,直接立项,进行中
基于表观遗传和长程关联信息的人类基因组复制/转录起始位点识别与偶联机制分析,61772119,7090777 ,生命科学与技术学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,66,69,66,财务通过，立项完成,直接立项,进行中
眼底图像分析中的迁移学习算法和应用研究,61772118,7181723 ,大数据研究中心,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,65.58,63,财务通过，立项完成,直接立项,进行中
基于逻辑规则和表示学习的知识图谱关系推理方法与应用研究,61772117,7130600 ,信息与软件工程学院（示范性软件学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,66,71.52,66,财务通过，立项完成,直接立项,进行中
协同深度视频理解、描述和视觉问答的关键技术研究,61772116,7190630 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,66,68.65,66,财务通过，立项完成,直接立项,进行中
核心化算法中的新技术研究,61772115,7100810 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2018-12-31,国家自然科学基金,面上项目,16,16,16,财务通过，立项完成,直接立项,进行中
视频大数据全效处理体系关键技术及应用研究,61772114,7110664 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,64,67.2,64,财务通过，立项完成,直接立项,进行中
压缩感知中图像重建的稀疏优化模型与高性能算法研究,61772003,5224520 ,数学科学学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,53,55.4,53,财务通过，立项完成,直接立项,进行中
太赫兹新型正弦波导大功率行波放大器的理论与实验研究,61771117,5230747 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,68,71.2,68,财务通过，立项完成,直接立项,进行中
太赫兹成像系统前端小型化变频机理及其应用研究,61771116,7090623 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,65.1,62,财务通过，立项完成,直接立项,进行中
基于CMOS工艺的毫米波移相器集成电路研究,61771115,7120610 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,65,68.25,65,财务通过，立项完成,直接立项,进行中
混构网融合高精度室内定位中的迁移学习理论和方法研究,61771114,7100688 ,信息与通信工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,67,73.2,67,财务通过，立项完成,直接立项,进行中
基于GEO-SAR卫星照射源的多无人机协同成像技术研究,61771113,7150649 ,信息与通信工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,68.2,62,财务通过，立项完成,直接立项,进行中
声表面波爆炸物传感的质-热双重敏感机制研究,61771112,5224906 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,67,69.82,67,财务通过，立项完成,直接立项,进行中
组网雷达动态规划检测前跟踪方法研究,61771110,7150594 ,信息与通信工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,67,73.56,67,财务通过，立项完成,直接立项,进行中
空时频探通一体认知波形设计方法研究,61771109,7150648 ,信息与通信工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,68,62,财务通过，立项完成,直接立项,进行中
稀疏信号相位恢复与纯相位重建方法研究,61771108,7060597 ,信息与通信工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,68.2,62,财务通过，立项完成,直接立项,进行中
无线通信人工智能抗干扰关键技术研究,61771107,5231050 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,65.05,62,财务通过，立项完成,直接立项,进行中
多载波空间调制无线传输技术研究,61771106,5230964 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,67,70.17,67,财务通过，立项完成,直接立项,进行中
折返结构太赫兹倍频放大器机理研究,61771105,7130619 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,63,66.15,63,财务通过，立项完成,直接立项,进行中
光载流子输运与复合非线性动力学的多寿命分辨与成像表征,61771103,7060737 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,64.8,62,财务通过，立项完成,直接立项,进行中
基于压缩感知的大规模MIMO信道估计研究,61771101,7110656 ,通信抗干扰技术国家级重点实验室,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,67,70.25,67,财务通过，立项完成,直接立项,进行中
心脏除颤的电场机理与效能探讨及其精准化除颤放电关键技术研究,61771100,7140594 ,电子科学与工程学院（示范性微电子学院）,四川大学,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,65,62,财务通过，立项完成,直接立项,进行中
基于谐振模式融合的HTS薄膜微波非线性特性连续频谱测量方法研究,61771099,5231020 ,光电科学与工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,65.1,62,财务通过，立项完成,直接立项,进行中
基于网络切片的5G物联网超低时延传输关键技术研究,61771098,7140666 ,计算机科学与工程学院（网络空间安全学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,64.82,62,财务通过，立项完成,直接立项,进行中
通用可扩展神经形态芯片及其关键技术研究,61771097,7181712 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,65.1,62,财务通过，立项完成,直接立项,进行中
磁控纳米冷阴极太赫兹辐射源器件物理及关键技术研究,61771096,7100682 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,65.1,62,财务通过，立项完成,直接立项,进行中
非合作双平台机载雷达杂波建模与STAP研究,61771095,7172797 ,信息与通信工程学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,62,67.9,62,财务通过，立项完成,直接立项,进行中
基于异频合路机制的超宽带高功率合成理论与技术研究,61771094,7090685 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,68,71.12,68,财务通过，立项完成,直接立项,进行中
基于特殊网络结构和分数阶微积分的正交信号构造理论、方法及其在MIMO雷达中的应用研究,61771004,5223641 ,数学科学学院,,2018-01-01,2018,2021-12-31,国家自然科学基金,面上项目,50,52.34,50,财务通过，立项完成,直接立项,进行中
超低功耗铁磁绝缘基自旋波逻辑器件的基础研究,61734002,5224894 ,电子科学与工程学院（示范性微电子学院）,,2018-01-01,2018,2022-12-31,国家自然科学基金,重点项目,280,235.08,224,财务通过，立项完成,直接立项,进行中
面向空间监测的三维可移动无线传感器网络理论与技术,61731006,7120713 ,信息与通信工程学院,天津师范大学,2018-01-01,2018,2022-12-31,国家自然科学基金,重点项目,290,193.8,172,财务通过，立项完成,直接立项,进行中
超宽角度范围波束扫描平面相控阵天线基础理论与关键技术研究,61731005,9220684 ,物理学院,,2018-01-01,2018,2022-12-31,国家自然科学基金,重点项目,280,117.4,112,财务通过，立项完成,直接立项,进行中
基于腔内参量增益及热效应双重调控的克尔光梳确定性孤子锁模技术研究,61705033,7172723 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,27.82,25,财务通过，立项完成,直接立项,进行中
基于光纤耦合的石墨烯增强型布里渊光机谐振机理和传感应用研究,61705032,7190618 ,信息与通信工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,28.35,25,财务通过，立项完成,直接立项,进行中
PbS量子点材料中激子多重弛豫机理研究,61704023,7172737 ,光电科学与工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,25,26.7,25,财务通过，立项完成,直接立项,进行中
超低功耗唤醒电路关键技术研究,61704022,7160599 ,通信与信息工程学院(停用),,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,27,16.2,16.2,财务通过，立项完成,直接立项,进行中
单晶LaB6-FEA微观形貌调控与电子发射特性研究,61704021,5231021 ,光电科学与工程学院,,2018-01-01,2018,2020-12-31,国家自然科学基金,青年科学基金项目,24,25.64,24,财务通过，立项完成,直接立项,进行中
